temperature,co2,time,humidity,motion,person_count,light
217,621,1513263079139812791,34,0,8,61
217,601,1513263199132721421,34,1,8,61
217,585,1513263259122179890,33,0,8,60
218,544,1513263319128795221,32,0,8,60
218,531,1513263379110611499,32,0,8,60
219,542,1513263439113705391,32,0,8,59
220,532,1513263499111195723,32,2,8,60
221,516,1513263559102594301,31,1,8,60
222,514,1513263619126414474,31,0,8,60
223,506,1513263679098530371,31,0,8,60
223,513,1513263739092493736,31,2,12,56
224,535,1513263799084232138,31,2,12,57
225,513,1513263859082370077,31,2,12,55
225,529,1513263919087713017,31,1,12,56
226,536,1513263979085588867,31,2,12,57
226,534,1513264039109586731,31,2,12,58
227,523,1513264099077716416,31,1,12,59
227,529,1513264159076998421,31,2,12,61
227,520,1513264219074463832,31,1,11,61
228,514,1513264279058163949,31,1,11,59
228,498,1513264339066333004,30,2,11,59
228,520,1513264399062510806,31,1,11,59
227,520,1513264459057734403,31,2,11,60
227,512,1513264519080927978,31,2,11,59
227,493,1513264579072734615,30,1,11,59
227,486,1513264639045380082,31,2,11,59
227,475,1513264699047455782,30,1,11,59
226,485,1513264759193925945,31,0,11,59
226,503,1513264819032481459,31,0,11,60
225,490,1513264879031835230,31,2,11,59
225,471,1513264939032851072,31,1,11,59
224,487,1513264999028899579,31,2,11,60
224,484,1513265059022487842,31,1,11,58
224,481,1513265119024619454,31,3,11,59
223,462,1513265238998340733,31,2,12,58
223,471,1513265299004819649,31,1,12,58
222,448,1513265358997409498,31,2,12,58
223,467,1513265419001923852,31,1,12,60
221,462,1513265478991717025,31,2,12,59
221,468,1513265538982349163,31,0,12,59
221,479,1513265598975977656,32,1,10,60
221,464,1513265658976344436,32,0,10,59
221,457,1513265718973531585,32,0,10,59
220,457,1513265778965088303,32,2,11,58
220,456,1513265838970258296,32,2,10,59
220,442,1513265898969359970,32,0,10,59
220,459,1513265958963762658,32,2,10,59
220,456,1513266018960237483,32,1,10,60
220,473,1513266138953674381,32,0,10,60
219,460,1513266198954625623,32,1,10,61
219,450,1513266258945075602,32,2,10,61
219,449,1513266318940596613,32,0,10,61
219,444,1513266378939119476,32,1,10,61
219,423,1513266438929798675,32,0,10,61
218,451,1513266558926326294,32,0,10,61
218,450,1513266619198054605,32,0,10,61
218,440,1513266678922706690,32,2,10,61
218,448,1513266738912194143,32,0,10,61
218,464,1513266798908839940,32,0,10,61
219,445,1513266858910921789,32,1,10,60
218,438,1513266918903491926,32,2,10,60
218,432,1513266978898526301,32,0,11,60
218,442,1513267038898742994,32,0,11,59
218,462,1513267218888719181,32,0,11,60
218,438,1513267278884598014,32,1,11,60
218,442,1513267338882067228,32,0,12,59
218,442,1513267398880066019,32,2,12,60
