temperature,humidity,time,motion,light,person_count,co2
187,55,1515785172723389296,0,1,1,887
187,55,1515785232726889296,0,1,1,886
188,55,1515785292727326816,0,1,1,868
187,55,1515785352723587873,0,1,1,882
187,55,1515785412714754560,0,1,1,873
187,55,1515785472708563088,0,1,1,864
187,55,1515785532866907039,0,1,1,875
187,55,1515785592759152663,0,1,1,879
187,55,1515785652694330818,0,1,1,870
187,55,1515785712695137727,0,1,1,879
186,55,1515785772687838701,0,1,1,880
186,55,1515785832689473347,0,1,1,878
187,55,1515785892690562513,0,1,1,880
186,55,1515785952679756756,0,1,1,876
186,55,1515786012673941566,0,1,1,879
186,55,1515786072668262188,0,1,1,873
186,55,1515786132662066211,0,1,1,887
186,55,1515786192659964144,0,1,1,882
186,55,1515786252664094957,0,1,1,876
222,38,1516005599922677146,0,5,1,383
221,38,1516005659924475907,0,5,1,383
221,38,1516005719916419822,0,5,1,390
221,38,1516005779908827724,0,5,1,395
222,38,1516005839924746509,0,5,1,396
221,38,1516005899908525946,0,5,1,395
221,38,1516005959899806125,0,5,1,389
221,38,1516006019906034967,0,5,1,394
221,38,1516006079894915976,0,5,1,394
222,38,1516006139890945912,0,5,1,389
222,38,1516006199884242683,0,6,1,390
222,38,1516006259884416883,0,8,1,394
221,38,1516006319877316378,0,9,1,396
221,38,1516006379872160987,0,10,1,394
221,38,1516006439873915510,0,11,1,395
221,38,1516006499892767483,0,10,1,392
221,38,1516006559859054793,0,10,1,390
221,38,1516006619864376704,0,13,1,389
221,38,1516006679854350988,0,12,1,389
221,38,1516006739853828408,0,12,1,390
221,38,1516006799847021553,0,11,1,390
221,38,1516006859845788320,0,12,1,386
221,38,1516006919845167762,0,13,1,395
221,38,1516006979848047500,0,14,1,393
221,38,1516007039846247795,0,14,1,397
221,38,1516007099871731126,0,15,1,392
221,38,1516007159836776425,0,15,1,391
221,38,1516007219821581764,0,16,1,399
221,38,1516007279829118741,0,17,1,387
221,38,1516007339829180267,0,19,1,391
221,38,1516007399854779422,0,20,1,395
221,38,1516007459812635931,0,23,1,400
220,38,1516007519802203988,0,25,1,391
220,38,1516007579811277115,0,28,1,392
220,38,1516007639803873464,0,32,1,393
