time,person_count
15/02/2018 14:26:43,1
15/02/2018 14:31:45,0
15/02/2018 14:36:49,0
15/02/2018 14:41:52,0
15/02/2018 14:46:56,0
15/02/2018 14:51:59,0
15/02/2018 14:57:02,0
15/02/2018 15:02:06,0
15/02/2018 15:07:09,0
15/02/2018 15:12:13,0
15/02/2018 15:17:16,0
15/02/2018 15:22:21,0
19/02/2018 12:57:20,1
19/02/2018 12:57:20,2
19/02/2018 12:57:21,3
19/02/2018 12:57:21,4
19/02/2018 12:57:31,5
19/02/2018 12:57:31,6
19/02/2018 12:58:37,7
19/02/2018 12:58:38,8
19/02/2018 12:58:46,9
19/02/2018 12:59:17,10
19/02/2018 13:00:05,11
19/02/2018 13:01:50,12
19/02/2018 13:03:24,13
19/02/2018 13:08:27,13
19/02/2018 13:13:30,13
19/02/2018 13:18:34,13
19/02/2018 13:23:37,13
19/02/2018 13:28:41,13
19/02/2018 13:33:44,13
19/02/2018 13:38:48,13
19/02/2018 13:43:51,13
19/02/2018 13:44:53,12
19/02/2018 13:44:53,11
19/02/2018 13:44:53,10
19/02/2018 13:44:54,9
19/02/2018 13:44:54,8
19/02/2018 13:44:54,7
19/02/2018 13:44:55,6
19/02/2018 13:44:55,5
19/02/2018 13:44:56,4
19/02/2018 13:44:56,3
19/02/2018 13:44:56,2
19/02/2018 13:44:57,1
19/02/2018 13:44:57,0
19/02/2018 13:50:01,0
19/02/2018 13:55:04,0
19/02/2018 14:00:07,0
19/02/2018 14:05:11,0
19/02/2018 14:10:14,0
19/02/2018 14:15:18,0
19/02/2018 14:20:21,0
19/02/2018 14:25:25,0
19/02/2018 14:30:28,0
19/02/2018 14:35:31,0
19/02/2018 14:40:35,0
20/02/2018 11:17:25,1
20/02/2018 11:20:09,0
20/02/2018 11:25:12,0
20/02/2018 11:30:15,0
20/02/2018 11:35:19,0
20/02/2018 11:40:22,0
20/02/2018 11:45:26,0
20/02/2018 11:50:29,0
20/02/2018 11:55:33,0
20/02/2018 12:00:36,0
20/02/2018 12:05:40,0
20/02/2018 12:10:43,0
20/02/2018 12:15:46,0
20/02/2018 15:33:31,1
20/02/2018 15:33:32,2
20/02/2018 15:38:36,2
20/02/2018 15:43:39,2
20/02/2018 15:48:42,2
20/02/2018 15:53:46,2
20/02/2018 15:58:49,2
20/02/2018 16:02:05,3
20/02/2018 16:07:08,3
20/02/2018 16:12:12,3
20/02/2018 16:17:20,3
20/02/2018 16:22:19,3
20/02/2018 16:27:22,3
20/02/2018 16:32:26,3
20/02/2018 16:37:29,3
20/02/2018 16:42:32,3
20/02/2018 16:47:36,3
20/02/2018 16:50:55,2
20/02/2018 16:55:58,2
20/02/2018 17:01:02,2
20/02/2018 17:06:05,2
20/02/2018 17:11:09,2
20/02/2018 17:16:12,2
20/02/2018 17:17:42,1
20/02/2018 17:17:42,0
20/02/2018 17:22:46,0
20/02/2018 17:27:49,0
20/02/2018 17:32:52,0
20/02/2018 17:37:56,0
20/02/2018 17:42:59,0
20/02/2018 17:48:03,0
20/02/2018 17:53:06,0
20/02/2018 17:58:10,0
20/02/2018 18:03:13,0
20/02/2018 18:08:17,0
20/02/2018 18:13:20,0
22/02/2018 12:55:28,1
22/02/2018 12:59:27,2
22/02/2018 12:59:32,3
22/02/2018 13:02:11,4
22/02/2018 13:02:11,5
22/02/2018 13:02:13,6
22/02/2018 13:07:17,6
22/02/2018 13:08:11,7
22/02/2018 13:08:11,8
22/02/2018 13:13:15,8
22/02/2018 13:18:18,8
22/02/2018 13:23:22,8
22/02/2018 13:28:25,8
22/02/2018 13:33:29,8
22/02/2018 13:38:32,8
22/02/2018 13:43:35,8
22/02/2018 13:48:39,8
22/02/2018 13:53:42,8
22/02/2018 13:58:46,8
22/02/2018 14:01:34,7
22/02/2018 14:01:35,6
22/02/2018 14:01:35,5
22/02/2018 14:01:35,4
22/02/2018 14:01:36,3
22/02/2018 14:01:36,2
22/02/2018 14:01:37,1
22/02/2018 14:01:37,0
22/02/2018 14:06:40,0
22/02/2018 14:11:44,0
22/02/2018 14:16:47,0
22/02/2018 14:21:51,0
22/02/2018 14:26:54,0
22/02/2018 14:31:57,0
22/02/2018 14:37:01,0
22/02/2018 14:42:04,0
22/02/2018 14:47:08,0
22/02/2018 14:52:11,0
22/02/2018 14:57:15,0
26/02/2018 13:02:04,1
26/02/2018 13:02:06,2
26/02/2018 13:02:08,3
26/02/2018 13:02:13,4
26/02/2018 13:02:50,5
26/02/2018 13:02:50,6
26/02/2018 13:02:50,7
26/02/2018 13:02:51,8
26/02/2018 13:02:51,9
26/02/2018 13:02:51,10
26/02/2018 13:02:52,11
26/02/2018 13:02:52,12
26/02/2018 13:05:49,13
26/02/2018 13:10:52,13
26/02/2018 13:15:55,13
26/02/2018 13:20:59,13
26/02/2018 13:26:02,13
26/02/2018 13:31:06,13
26/02/2018 13:36:09,13
26/02/2018 13:36:38,12
26/02/2018 13:37:02,13
26/02/2018 13:42:05,13
26/02/2018 13:47:08,13
26/02/2018 13:50:51,12
26/02/2018 13:50:52,11
26/02/2018 13:51:04,10
26/02/2018 13:51:08,9
26/02/2018 13:55:48,8
26/02/2018 13:55:49,6
26/02/2018 13:55:49,5
26/02/2018 13:55:49,4
26/02/2018 13:55:50,3
26/02/2018 13:55:51,2
26/02/2018 13:55:48,7
26/02/2018 13:55:52,1
26/02/2018 13:55:52,0
26/02/2018 14:00:56,0
26/02/2018 14:05:59,0
26/02/2018 14:11:02,0
26/02/2018 14:16:06,0
26/02/2018 14:21:09,0
26/02/2018 14:26:13,0
26/02/2018 14:31:16,0
26/02/2018 14:36:20,0
26/02/2018 14:41:24,0
26/02/2018 14:46:27,0
26/02/2018 14:51:30,0
28/02/2018 14:04:42,1
28/02/2018 14:04:42,2
28/02/2018 14:04:43,3
28/02/2018 14:04:45,4
28/02/2018 14:07:20,5
28/02/2018 14:07:21,4
28/02/2018 14:07:21,5
28/02/2018 14:07:22,4
28/02/2018 14:07:22,5
28/02/2018 14:07:22,4
28/02/2018 14:07:23,5
28/02/2018 14:07:23,4
28/02/2018 14:07:24,3
28/02/2018 14:07:25,4
28/02/2018 14:07:30,5
28/02/2018 14:07:32,4
28/02/2018 14:12:35,4
28/02/2018 14:17:39,4
28/02/2018 14:22:42,4
28/02/2018 14:27:45,4
28/02/2018 14:32:49,4
28/02/2018 14:37:52,4
28/02/2018 14:42:45,5
28/02/2018 14:42:48,4
28/02/2018 14:47:51,4
28/02/2018 14:48:05,3
