co2,co2_derived,co2_smoothed,humidity,light,motion,temperature,person_count
445,0.04381265830604172,442.2,33,89,0,212,4
449,0.05722618790243973,448.8,33,92,0,212,4
448,0.045558258216235124,449.2,33,92,0,212,4
440,0.021667692644742508,446.6,33,93,2,212,4
437,0.0038097290919536417,443.8,33,99,0,212,4
453,-0.009444942259609616,445.4,33,102,0,212,4
440,-0.01333412922962512,443.6,33,103,0,212,4
444,-0.010556105064663847,442.8,33,104,0,212,4
440,-0.0027778353379249924,442.8,33,105,0,211,4
442,-0.004444651436732138,443.8,33,105,0,212,4
445,-0.004666963892368941,442.2,33,108,0,212,4
441,-0.0011111782969667654,442.4,33,112,0,211,4
438,-0.005333284492940015,441.2,33,113,0,211,4
460,0.0029168653842917497,445.2,33,103,0,211,4
432,0.0020834162460729735,443.2,33,97,0,211,4
440,-0.0004762229184649964,442.2,33,90,0,212,4
438,0.00095247562586112,441.6,33,88,0,211,4
456,0.0,445.2,33,103,0,212,3
438,-0.006666945782620081,440.8,33,100,0,211,3
441,0.0011110956751943723,442.6,33,98,0,212,3
435,0.0,441.6,33,96,0,212,3
437,-0.01582977571323625,441.4,33,94,0,212,3
435,-0.015001378662926912,437.2,33,91,3,212,3
459,-0.005000786984633554,441.4,33,91,1,212,4
461,0.01583111075967829,445.4,33,93,2,212,4
471,0.03734350850893895,452.6,34,90,0,212,4
468,0.07200270891844456,458.8,34,91,0,212,4
467,0.07933808829248146,465.2,34,93,0,212,4
483,0.0585805807829038,470.0,34,92,0,212,6
479,0.043752725023996575,473.6,34,91,2,212,6
481,0.03500259896045339,475.6,34,90,1,212,6
488,0.030001419745516556,479.6,34,93,2,212,6
502,0.03952733885370875,486.6,34,96,2,213,6
486,0.03777992047140947,487.2,34,102,0,213,6
490,0.025557377502142695,489.4,34,90,1,213,7
520,0.029335381998505328,497.2,34,84,2,213,7
524,0.03296432118213479,504.4,34,82,1,213,7
533,0.048753641001850034,510.6,34,82,2,213,7
530,0.0833382473085805,519.4,34,83,0,214,7
532,0.10199458970158548,527.8,34,85,2,214,7
534,0.08734128329901615,530.6,34,87,0,213,7
524,0.05555846106600634,530.6,34,90,1,213,7
528,0.028334456484996072,529.6,34,90,1,213,7
534,0.007223355461128504,530.4,34,92,2,214,8
548,0.007143190932301098,533.6,34,91,2,214,8
542,0.012778461219848056,535.2,34,91,1,214,8
538,0.028001889645620493,538.0,34,93,2,214,7
543,0.035334646197461385,541.0,34,92,1,214,8
566,0.05749726111574178,547.4,34,92,0,214,8
552,0.04333650797946932,548.2,34,90,0,214,8
559,0.03238289203713978,551.6,34,92,0,214,8
558,0.030418830469812207,555.6,34,90,2,214,8
555,0.022085615826518662,558.0,34,90,0,214,8
567,0.018519459690168008,558.2,34,90,0,214,8
570,0.024281421140763128,561.8,34,92,2,215,8
539,0.0052383376290986725,557.8,34,91,0,215,8
